activity_id,customer_id,activity_date
1,1,2025-12-15
2,1,2025-11-20
3,2,2025-10-01
4,3,2025-12-05
5,3,2025-11-25
6,4,2025-09-10
7,5,2025-12-01
8,6,2025-10-15
9,7,2025-12-18
10,8,2025-08-20
11,9,2025-12-10
12,10,2025-09-01
13,11,2025-12-05
14,12,2025-10-10
15,13,2025-12-19
16,14,2025-09-25
17,15,2025-12-02
18,16,2025-11-30
19,17,2025-08-15
20,18,2025-12-12
21,19,2025-10-01
22,20,2025-12-14
23,21,2025-07-20
24,22,2025-12-01
25,23,2025-11-01
26,24,2025-09-05
27,25,2025-12-10
28,26,2025-10-01
29,27,2025-12-08
30,28,2025-09-15
